"","H","V","L","F","Tree","name","absPAR","absNIR","absTherm","totPs","netPs","totRf","totLE1","totLE2","totH"
"194",15,0.25,0.466,0.4,105,"H15_V0.25_L0.466_F0.4",141.3561,38.9353333333333,44.0782666666667,17.9438333333333,16.6951666666667,1.2486,2290.94653333333,14.1658666666667,96.1662666666667
"195",15,0.25,0.466,0.5,105,"H15_V0.25_L0.466_F0.5",142.975566666667,39.2488333333333,43.5736666666667,18.0318666666667,16.7832333333333,1.2486,2301.42943333333,14.2347333333333,97.2981666666667
"196",15,0.25,0.466,0.65,105,"H15_V0.25_L0.466_F0.65",144.688,39.6022,43.5349666666667,18.1059666666667,16.8573666666667,1.2486,2314.06226666667,14.2930666666667,98.7732
"197",15,0.25,0.466,0.75,105,"H15_V0.25_L0.466_F0.75",146.525633333333,39.9894,43.4101333333333,18.191,16.9424,1.2486,2328.13166666667,14.3599333333333,100.2925
"198",15,0.25,0.466,0.85,105,"H15_V0.25_L0.466_F0.85",148.696433333333,40.4467333333333,43.2195666666667,18.2943333333333,17.0457333333333,1.2486,2344.3524,14.4414333333333,102.078866666667
"199",15,0.25,0.466,0.95,105,"H15_V0.25_L0.466_F0.95",151.501266666667,41.0776666666667,42.9058333333333,18.4237666666667,17.1751,1.2486,2364.677,14.5441,104.428133333333
"200",15,0.25,0.466,1,105,"H15_V0.25_L0.466_F1",152.968233333333,41.395,42.7640666666667,18.4907,17.2421,1.2486,2375.19526666667,14.5972333333333,105.658033333333
"201",15,0.25,0.466,1.05,105,"H15_V0.25_L0.466_F1.05",154.493733333333,41.7069333333333,42.6126,18.5608,17.3122,1.2486,2385.90306666667,14.6528,106.9194
"202",15,0.25,0.466,1.15,105,"H15_V0.25_L0.466_F1.15",157.043533333333,42.2515333333333,42.4121666666667,18.6803,17.4316666666667,1.2486,2404.07676666667,14.7473,109.081533333333
"203",15,0.25,0.466,1.25,105,"H15_V0.25_L0.466_F1.25",158.819133333333,42.6210666666667,42.2342,18.7660333333333,17.5174333333333,1.2486,2416.8156,14.8144333333333,110.5449
"204",15,0.25,0.466,1.35,105,"H15_V0.25_L0.466_F1.35",160.181333333333,42.9106666666667,42.1456,18.8300333333333,17.5814333333333,1.2486,2426.26483333333,14.8643,111.720633333333
"205",15,0.25,0.466,1.5,105,"H15_V0.25_L0.466_F1.5",161.3009,43.1489,42.0963,18.8826,17.634,1.2486,2434.5541,14.9054,112.679966666667
"206",15,0.25,0.466,1.6,105,"H15_V0.25_L0.466_F1.6",161.795366666667,43.2672,42.0137666666667,18.9064666666667,17.6578666666667,1.2486,2438.19573333333,14.9242666666667,113.083566666667
"207",15,0.25,0.466,1.75,105,"H15_V0.25_L0.466_F1.75",161.941933333333,43.3496333333333,41.9215,18.9141333333333,17.6655,1.2486,2439.77906666667,14.9303,113.203733333333
"208",15,0.25,0.466,1.85,105,"H15_V0.25_L0.466_F1.85",161.930433333333,43.3550666666667,41.9074666666667,18.9134666666667,17.6648666666667,1.2486,2440.11623333333,14.9298,113.177066666667
"209",15,0.25,0.466,1.99,105,"H15_V0.25_L0.466_F1.99",161.936966666667,43.3511666666667,41.9158666666667,18.9137,17.6650333333333,1.2486,2440.10023333333,14.9299666666667,113.1838
"210",15,0.25,1.488,0.01,313,"H15_V0.25_L1.488_F0.01",87.4235666666667,28.2097333333333,49.4023666666667,14.2476666666667,12.9990333333333,1.2486,1624.9043,35.7386333333333,64.8897333333333
"211",15,0.25,1.488,0.15,313,"H15_V0.25_L1.488_F0.15",93.0679666666667,29.3373666666667,48.8586333333333,14.7657333333333,13.5171,1.2486,1675.5305,37.0121666666667,69.0209333333333
"212",15,0.25,1.488,0.25,313,"H15_V0.25_L1.488_F0.25",96.069,29.9419,48.4466333333333,15.0661333333333,13.8175333333333,1.2486,1697.7695,37.7322,71.3502333333333
